Bangladesh medical journal,Bangladesh Med J
Advances in organ biology,Adv Organ Biol
LIA,LIA
Monatshefte fur Veterinarmedizin,Monatsh Veterinarmed
Russian history. Histoire russe,Russ Hist (Pittsburgh)
Molecular biology \& medicine,Mol Biol Med
British journal of hospital medicine,Br J Hosp Med
Bollettino dell'Istituto sieroterapico milanese,Boll Ist Sieroter Milan
Kemi,Kemi
"Mahidol population gazette / Institute for Population and Social Research, Mahidol University",Mahidol Popul Q Gaz
Dusseldorfer geographische Schriften,Dusseld Geogr Schr
Magnetic resonance imaging,Magn Reson Imaging
Armed forces and society,Armed Forces Soc
Promotion \& education,Promot Educ
Experimental and toxicologic pathology : official journal of the Gesellschaft fur Toxikologische Pathologie,Exp Toxicol Pathol
Hybridoma and hybridomics,Hybrid Hybridomics
Recent progress in hormone research,Recent Prog Horm Res
Journal of the Association for Physical and Mental Rehabilitation,J Assoc Phys Ment Rehabil
The Yale journal of biology and medicine,Yale J Biol Med
Archives of histology and cytology,Arch Histol Cytol
Eating disorders,Eat Disord
Annual review of cell and developmental biology,Annu Rev Cell Dev Biol
Boletin. Sociedad de Cirugia del Uruguay,Bol Soc Cir Urug
Journal of psychiatric practice,J Psychiatr Pract
Cytogenetics and cell genetics,Cytogenet Cell Genet
"Cuadernos de historia del derecho (Madrid, Spain)",Cuad Hist Derecho
"Echocardiography (Mount Kisco, N.Y.)",Echocardiography
Medical digest,Med Dig
The Journal of thoracic surgery,J Thorac Surg
VDI-Berichte,VDI Ber
Rivista critica di storia della filosofia,Riv Crit Stor Filos
IEEE transactions on magnetics,IEEE Trans Magn
European journal of paediatric neurology : EJPN : official journal of the European Paediatric Neurology Society,Eur J Paediatr Neurol
Revue d'immunologie et de therapie antimicrobienne,Rev Immunol Ther Antimicrob
Annales de la nutrition et de l'alimentation,Ann Nutr Aliment
The International journal of adult orthodontics and orthognathic surgery,Int J Adult Orthodon Orthognath Surg
Jewish life (Union of Orthodox Jewish Congregations of America : 1975),Jew Life
"Journal of tissue culture methods : Tissue Culture Association manual of cell, tissue, and organ culture procedures",J Tissue Cult Methods
The American journal of cardiovascular pathology,Am J Cardiovasc Pathol
Jewish culture and history,Jew Cult Hist
Journal of Korean Academy of Nursing,J Korean Acad Nurs
Navy medicine,Navy Med
Paramedics international,Paramed Int
Majalah demografi Indonesia,Majalah Demografi Indones
Interacting with computers,Interact Comput
Acta pharmaceutica Jugoslavica,Acta Pharm Jugosl
"Quarterly progress report. United States. Air Force. Radiation Laboratory, University of Chicago",Q Prog Rep United States Air Force Radiat Lab Univ Chic
Pharmaceutical reviews,Pharm Rev
Experiments in fluids,Exp Fluids
South Dakota codified laws : comprising statutes of a general and permanent nature ... South Dakota,S D Codif Laws S D
La Nuova veterinaria,Nuova Vet
Nephron. Clinical practice,Nephron Clin Pract
Aptechnoe delo,Aptechn Delo
Loyola of Los Angeles law review,Loyola Los Angel Law Rev
Sbornik pro pathofysiologii traveni a vyzivy; gastroenterologia bohema,Sb Pathofysiol Traveni Vyz Gastroenterol Bohema
Sotahistoriallinen aikakauskirja,Sotahist Aikak
International journal of politics,Int J Polit
Cardiovascular research,Cardiovasc Res
Clay minerals,Clay Miner
British journal of nursing (Mark Allen Publishing),Br J Nurs
Zhejiang yi ke da xue xue bao = Journal of Zhejiang Medical University,Zhe Jiang Yi Ke Da Xue Xue Bao
Pammatone,Pammatone
Origins of life,Orig Life
The Journal of obstetrics and gynaecology of the British Commonwealth,J Obstet Gynaecol Br Commonw
Proceedings of the Huguenot Society of London. Huguenot Society of London,Proc Huguenot Soc Lond
Wiadomosci lekarskie,Wiad Lek Wars Pol 1948
Violence Update,Violence Update
Journal - American Water Works Association,J Am Water Works Assoc
Social neuroscience,Soc Neurosci
Clinical resource management,Clin Resour Manag
Open neuroendocrinology journal (Online),Open Neuroendocrinol J
Clinical calcium,Clin Calcium
Progress in the chemistry of fats and other lipids,Prog Chem Fats Other Lipids
Archivo espanol de arte,Arch Esp Arte
Cold Spring Harbor perspectives in medicine,Cold Spring Harb Perspect Med
Jornal brasileiro de ginecologia,J Bras Ginecol
Current bladder dysfunction reports,Curr Bladder Dysfunct Rep
The American journal of forensic psychology,Am J Forensic Psychol
Philosophic research and analysis,Philos Res Analysis
Publication of the Society for Literature and Science,Publ Soc Lit Sci
Inter-University Faculty Work Conference,Interuniv Fac Work Conf
Bulletin. United States. Army Medical Dept,Bull U S Army Med Dep
Air sea rescue bulletin,Air Sea Rescue Bull
Journal of environmental protection science,J Environ Prot Sci
Rheumatism,Rheumatism
Turkiye parazitolojii dergisi / Turkiye Parazitoloji Dernegi = Acta parasitologica Turcica / Turkish Society for Parasitology,Turkiye Parazitol Derg
Progress in drug research. Fortschritte der Arzneimittelforschung. Progres des recherches pharmaceutiques,Prog Drug Res
"Computers, environment and urban systems",Comput Environ Urban Syst
Reconstructionist,Reconstructionist
The University of Chicago legal forum,Univ Chic Leg Forum
Bulletin de la Societe de pharmacie de Strasbourg,Bull Soc Pharm Strasb
Transactions of the Philological Society. Philological Society (Great Britain),Trans Philol Soc
The Journal of East Asian affairs,J East Asian Aff
"Digest of public general bills and selected resolutions, with index",Digest Public Gen Bills
Clinical immunology and immunopathology,Clin Immunol Immunopathol
Journal of Nihon Medical School = Nihon Ika Daigaku zasshi,J Nihon Med Sch
Journal of pediatric and adolescent gynecology,J Pediatr Adolesc Gynecol
Journal of psychopathology and behavioral assessment,J Psychopathol Behav Assess
Gerontion,Gerontion
La Revue des infirmieres et infirmiers auxiliaires du Quebec,Rev Infirm Infirm Aux Que
Journal of optometry,J Optom
Medico-surgical suggestions,Med Surg Suggest
Southeast Europe series,Southeast Eur Ser
Emory international law review,Emory Int Law Rev
The Arab journal of the social sciences,Arab J Soc Sci
Domes : digest of Middle East studies,Domes
The Veterinarian,Veterinarian
Acta psychiatrica et neurologica Scandinavica,Acta Psychiatr Neurol Scand
Advances in life course research,Adv Life Course Res
"Families, systems \& health : the journal of collaborative family healthcare",Fam Syst Health
Biologica Latina,Biol Lat
Food additives and contaminants,Food Addit Contam
Georgia hospitals today / GHA,Ga Hosp Today
American journal of agricultural economics,Am J Agric Econ
EBRI issue brief / Employee Benefit Research Institute,EBRI Issue Brief
Re/views in environmental science and bio/technology (Online),
Surgical technology international,Surg Technol Int
Der Praktische Arzt,Prakt Arzt
Proceedings of the VLDB Endowment International Conference on Very Large Data Bases,Proceedings VLDB Endowment
PAN (Nigeria),PAN
"Revista de pediatrie, obstetrica si ginecologie. Pediatria",Rev Pediatr Obstet Ginecol Pediatr
Journal of orthopaedic surgery and research,J Orthop Surg Res
International journal of semantic computing,Int J Semant Comput
Integrative medicine insights,Integr Med Insights
American journal of physiology. Cell physiology,Am J Physiol Cell Physiol
Sociological inquiry,Sociol Inq
Current opinion in neurology,Curr Opin Neurol
Queensland nurses journal,Qld Nurses J
"Sogo kango. Comprehensive nursing, quarterly",Sogo Kango
Archives of osteoporosis,Arch Osteoporos
Attualita di ostetricia e ginecologia,Attual Ostet Ginecol
Afrika und Ubersee,Afr Uebersee
Medical science research,Med Sci Res
Rheinische Vierteljahrsblatter,Rhein Vierteljahrsbl
French historical studies,Fr Hist Stud
Journal of veterinary cardiology : the official journal of the European Society of Veterinary Cardiology,J Vet Cardiol
Provincial medical journal and retrospect of the medical sciences,Prov Med J Retrosp Med Sci
Cancer research and treatment : official journal of Korean Cancer Association,Cancer Res Treat
Queen's quarterly,Queen's Q
The Systems thinker,Syst Thinker
Biomedical chromatography,Biomed Chromatogr
Biochemistry international,Biochem Int
Journal of clinical pathology. Supplement,J Clin Pathol Suppl (R Coll Pathol)
Revista de derecho y genoma humano = Law and the human genome review / Catedra de Derecho y Genoma Humano/Fundacion BBV-Diputacion Foral de Bizkaia,Rev Derecho Genoma Hum
Gazette of the Grolier Club. Grolier Club,Gaz Grolier Club
IEEE MTT-S International Microwave Symposium digest. IEEE MTT-S International Microwave Symposium,IEEE MTTS Int Microw Symp
Le Journal medical libanais. The Lebanese medical journal,J Med Liban
Wiley interdisciplinary reviews. Systems biology and medicine,Wiley Interdiscip Rev Syst Biol Med
Societes d'Afrique \& SIDA : newsletter of the Societes d'Afrique \& SIDA Network,Soc Afr SIDA
Tribune (International Women's Tribune Centre : English ed.),Trib Int Womens Trib Cent
"Journal of food composition and analysis : an official publication of the United Nations University, International Network of Food Data Systems",J Food Compost Anal
Revue de l'atherosclerose,Rev Atheroscler
Cognitive neuropsychology,Cogn Neuropsychol
Journal of the Society for Social Work and Research,J Soc Social Work Res
Estudios migratorios latinoamericanos,Estud Migr Latinoam
"Risk, issues in health \& safety",Risk Issues Health Saf
Autophagy,Autophagy
Journal of student affairs research and practice,J Stud Aff Res Pract
Acta ethnologica et linguistica,Acta Ethnol Linguist
Biology and human affairs : a British Social Hygiene Council publication,Biol Hum Aff
Revue roumaine d'histoire,Rev Roum Hist
The Daily Washington law reporter,Dly Wash Law Report
Town and country planning : the quarterly review of the Town and Country Planning Association,Town Ctry Plann
Oregon state dental journal,Oreg State Dent J
Violence against women,Violence Against Women
Vestnik venerologii i dermatologii,Vestn Venerol Dermatol
Behaviour change : journal of the Australian Behaviour Modification Association,Behav Change
Annales de cardiologie et d'angeiologie,Ann Cardiol Angeiol (Paris)
[Ying yang xue bao] Acta nutrimenta Sinica,Ying Yang Xue Bao
Environmental biosafety research,Environ Biosafety Res
"Revue de philologie, de litterature et d'histoire anciennes",Rev Philol Litt Hist Anc
McCall's,McCalls
Journal of the Mississippi State Medical Association,J Miss State Med Assoc
Blood,Blood
Surgical neurology international,Surg Neurol Int
Therapeutic advances in cardiovascular disease,Ther Adv Cardiovasc Dis
Acta botanica Gallica : bulletin de la Societe botanique de France,Acta Bot Gallica
Journal of foetal medicine,J Foetal Med
Revue de psychologie appliquee,Rev Psychol Appl
Progress in histochemistry and cytochemistry,Prog Histochem Cytochem
IRB,IRB
"Praktische Anasthesie, Wiederbelebung und Intensivtherapie",Prakt Anaesth
McGill journal of medicine,Mcgill J Med
Critical reviews in eukaryotic gene expression,Crit Rev Eukaryot Gene Expr
Kolner medizinhistorische Beitrage,Koln Med Beitr
Ai zheng = Aizheng = Chinese journal of cancer,Ai Zheng
Ceylon Dental Journal,Ceylon Dent J
WHO features,WHO Feature
Clinics in sports medicine,Clin Sports Med
Journal of biomedical engineering,J Biomed Eng
Organic process research \& development,Org Process Res Dev
Professional case management,Prof Case Manag
Journal of applied gerontology : the official journal of the Southern Gerontological Society,J Appl Gerontol
Koku Eisei Gakkai zasshi,Koku Eisei Gakkai Zasshi
Deutschland Archiv,Dtschl Arch
The healthcare strategist,Healthc Strateg
Journal of health and human services administration,J Health Hum Serv Adm
Cardiovascular \& hematological disorders drug targets,Cardiovasc Hematol Disord Drug Targets
American journal of perinatology,Am J Perinatol
Conservation genetics resources,Conserv Genet Resour
Archiv fur klinische und experimentelle Dermatologie,Arch Klin Exp Dermatol
Journal of healthcare risk management : the journal of the American Society for Healthcare Risk Management,J Healthc Risk Manag
Medicina em revista,Med Rev
Journal of biochemistry and molecular biology,J Biochem Mol Biol
Transactions of the New York Academy of Sciences,Trans N Y Acad Sci
Journal de medecine de Paris,J Med Paris
"Journal of sedimentary research. Section A, Sedimentary petrology and processes : an international journal of SEPM (Society for Sedimentary Geology)",J Sediment Res A Sediment Petrol Process
Clinical research and regulatory affairs,Clin Res Regul Aff
Year book - Carnegie Institution of Washington,Year B Carnegie Inst Wash
Memorias do Instituto Oswaldo Cruz,Mem Inst Oswaldo Cruz
"Physiology (Bethesda, Md.)",Physiology (Bethesda)
La Revue de medecine interne / fondee ... par la Societe nationale francaise de medecine interne,Rev Med Interne
On the state of the public health. Great Britain. Ministry of Health,On State public health (1921)
"Rivista di storia della filosofia (Milan, Italy : 1984)",Riv Stor Filos
Theoretical biology forum,Theor Biol Forum
Sexual and marital therapy : journal of the Association of Sexual and Marital Therapists,Sex Marital Ther
Archivio italiano di anatomia e istologia patologica,Arch Ital Anat Istol Patol
BMC ecology,BMC Ecol
Cuadernos de historia contemporanea / Departamento de Historia Contemporanea,Cuad Hist Contemp
The Journal of invasive cardiology,J Invasive Cardiol
Epigraphica,Epigraphica
The Swedish-American historical quarterly / Swedish Pioneer Historical Society,Swed Am Hist Q
Population bulletin of the United Nations,Popul Bull UN
"Prilozi / Makedonska akademija na naukite i umetnostite, Oddelenie za bioloski i medicinski nauki = Contributions / Macedonian Academy of Sciences and Arts, Section of Biological and Medical Sciences",Prilozi
Clinical practice guideline. Quick reference guide for clinicians,Clin Pract Guidel Quick Ref Guide Clin
The journal of the American Academy of Psychiatry and the Law,J Am Acad Psychiatry Law
Ghana official news bulletin,Ghana Off News Bull
Essex Institute historical collections,Essex Inst Hist Collect
Italian general review of oto-rhino-laryngology. Revue generale italienne d'oto-rhino-laryngologie,Ital Gen Rev Otorhinolaryngol
The Proceedings of the Cardiff Medical Society,Proc Cardiff Med Soc
Revue medicale de France,Rev Med Fr
Baylor law review,Bayl Law Rev
Free world horizons,Free World Horiz
Equilibrium,Equilibrium
The South Atlantic quarterly,South Atl Q
Journal - Scottish Labour History Society. Scottish Labour History Society,J Scott Labour Hist Soc
Revista de historia canaria,Rev Hist Canaria
Better homes and gardens,Better Homes Gard
Journal des maladies vasculaires,J Mal Vasc
"Journal of physiology, Paris",J Physiol Paris
Diagnostic pathology,Diagn Pathol
Documenta rheumatologica. [Deutsche Ausg.],Doc Rheumatol
Advances in health sciences education : theory and practice,Adv Health Sci Educ Theory Pract
